G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N
4075,711814;859,3429094;5851,09908;1157,332755;174,4797453;2670,003951;899,7196025;278,4510692;3380,236376;2461,74079
4162,492858;878,7388105;6023,025535;1187,823984;180,1348122;2758,344813;926,5954346;286,124969;3475,357836;2529,779557
4249,273901;898,1347117;6194,951991;1218,315212;185,7898792;2846,685675;953,4712666;293,7988687;3570,479296;2597,818325
4336,054945;917,5306128;6366,878446;1248,80644;191,4449461;2935,026537;980,3470987;301,4727685;3665,600756;2665,857092
1717,600845;377,243248;3363,899139;598,2495801;109,8400051;1717,048938;526,9838463;150,9464466;1862,028259;1340,976144
1804,381889;396,6391491;3535,825595;628,7408085;115,495072;1805,389799;553,8596784;158,6203463;1957,149719;1409,014911
1891,162933;416,0350503;3707,75205;659,2320368;121,150139;1893,730661;580,7355104;166,2942461;2052,271179;1477,053679
1977,943976;435,4309514;3879,678506;689,7232651;126,8052059;1982,071523;607,6113425;173,9681458;2147,392639;1545,092446
2064,72502;454,8268525;4051,604961;720,2144934;132,4602728;2070,412385;634,4871746;181,6420455;2242,514099;1613,131214
2151,506064;474,2227537;4223,531417;750,7057217;138,1153398;2158,753246;661,3630066;189,3159453;2337,63556;1681,169981
2238,287107;493,6186548;4395,457872;781,19695;143,7704067;2247,094108;688,2388387;196,989845;2432,75702;1749,208749
2325,068151;513,014556;4567,384328;811,6881783;149,4254736;2335,43497;715,1146707;204,6637448;2527,87848;1817,247516
2411,849195;532,4104571;4739,310783;842,1794066;155,0805405;2423,775832;741,9905028;212,3376445;2622,99994;1885,286283
2498,630238;551,8063583;4911,237239;872,6706349;160,7356075;2512,116693;768,8663348;220,0115443;2718,1214;1953,325051
2585,411282;571,2022594;5083,163695;903,1618632;166,3906744;2600,457555;795,7421669;227,685444;2813,24286;2021,363818
2672,192326;590,5981606;5255,09015;933,6530915;172,0457413;2688,798417;822,617999;235,3593437;2908,36432;2089,402586
2758,973369;609,9940617;5427,016606;964,1443198;177,7008083;2777,139279;849,493831;243,0332435;3003,48578;2157,441353
2845,754413;629,3899628;5598,943061;994,6355481;183,3558752;2865,480141;876,3696631;250,7071432;3098,60724;2225,480121
1778,575123;404,4929958;3410,558528;615,9614082;111,8059785;1747,814224;529,9663084;154,6084349;1890,980617;1368,859842
1865,356166;423,8888969;3582,484984;646,4526365;117,4610454;1836,155086;556,8421404;162,2823347;1986,102077;1436,898609
1952,13721;443,2847981;3754,411439;676,9438648;123,1161124;1924,495948;583,7179725;169,9562344;2081,223537;1504,937377
2038,918254;462,6806992;3926,337895;707,4350931;128,7711793;2012,836809;610,5938045;177,6301341;2176,344997;1572,976144
2125,699297;482,0766003;4098,26435;737,9263214;134,4262462;2101,177671;637,4696366;185,3040339;2271,466457;1641,014912
2212,480341;501,4725015;4270,190806;768,4175497;140,0813132;2189,518533;664,3454687;192,9779336;2366,587918;1709,053679
2299,261385;520,8684026;4442,117262;798,908778;145,7363801;2277,859395;691,2213007;200,6518334;2461,709378;1777,092446
2386,042428;540,2643038;4614,043717;829,4000063;151,391447;2366,200256;718,0971328;208,3257331;2556,830838;1845,131214
2472,823472;559,6602049;4785,970173;859,8912346;157,0465139;2454,541118;744,9729648;215,9996328;2651,952298;1913,169981
2559,604516;579,0561061;4957,896628;890,3824629;162,7015809;2542,88198;771,8487969;223,6735326;2747,073758;1981,208749
2646,385559;598,4520072;5129,823084;920,8736912;168,3566478;2631,222842;798,724629;231,3474323;2842,195218;2049,247516
2733,166603;617,8479084;5301,749539;951,3649195;174,0117147;2719,563704;825,600461;239,0213321;2937,316678;2117,286284
2819,947647;637,2438095;5473,675995;981,8561479;179,6667817;2807,904565;852,4762931;246,6952318;3032,438138;2185,325051
2906,72869;656,6397107;5645,60245;1012,347376;185,3218486;2896,245427;879,3521251;254,3691315;3127,559598;2253,363818
13746,66019;3367,606623;33900,22032;5031,133444;495,3210269;14470,88002;7021,207831;2354,228356;9826,532373;39883,62194
13833,44124;3387,002524;34072,14678;5061,624672;500,9760938;14559,22088;7048,083663;2361,902256;9921,653833;39951,6607
13920,22228;3406,398425;34244,07323;5092,1159;506,6311607;14647,56174;7074,959495;2369,576156;10016,77529;40019,69947
14007,00332;3425,794327;34415,99969;5122,607129;512,2862277;14735,90261;7101,835327;2377,250055;10111,89675;40087,73824
14093,78437;3445,190228;34587,92615;5153,098357;517,9412946;14824,24347;7128,711159;2384,923955;10207,01821;40155,77701
14180,56541;3464,586129;34759,8526;5183,589585;523,5963615;14912,58433;7155,586991;2392,597855;10302,13967;40223,81577
14267,34646;3483,98203;34931,77906;5214,080814;529,2514284;15000,92519;7182,462823;2400,271754;10397,26113;40291,85454
14354,1275;3503,377931;35103,70551;5244,572042;534,9064954;15089,26605;7209,338656;2407,945654;10492,38259;40359,89331
14440,90854;3522,773832;35275,63197;5275,06327;540,5615623;15177,60692;7236,214488;2415,619554;10587,50405;40427,93208
14527,68959;3542,169733;35447,55842;5305,554499;546,2166292;15265,94778;7263,09032;2423,293454;10682,62551;40495,97084
14614,47063;3561,565635;35619,48488;5336,045727;551,8716962;15354,28864;7289,966152;2430,967353;10777,74697;40564,00961
